name,bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,address,bldgclass,roof_area_m2_actual,numfloors,yearbuilt,lon,lat
,1002980018.0,268.1484375,1915,34,1001620013,445118,2100,96.233339694728144,63.91833175,Constructed,1001690,2017-08-22 19:34:40+00:00,Photogrammetric,264659,50.32684249444791,62304.63100812651,88.73757231054434,185.2027803795683,251.63421247223957,56 HESTER STREET,C7,,6.0,1930.0,-73.9985513639607,40.71451329520936
,1003090008.0,301.3203125,1910,34,1001620014,214880,2100,105.20635160776943,59.45407974,Constructed,1001691,2017-08-22 18:20:38+00:00,Photogrammetric,390009,28.975887168232205,35872.14831427147,99.71576371702074,106.63126477909452,144.879435841161,58 ORCHARD STREET,C7,,6.0,1910.0,-73.99856002806582,40.7145814646377
,1003100024.0,262.30859375,1910,35,1001620017,304830,2100,94.104652331261335,66.01748191,Constructed,1001694,2017-08-22 17:48:30+00:00,Photogrammetric,226854,34.22616789116098,42371.9958492573,86.80603977644374,125.9522978394724,171.1308394558049,43 ESSEX STREET,C7,,6.0,1910.0,-73.99860646891109,40.714773740341336
,1004140005.0,179.765625,1915,37,1001620022,443912,2100,65.258702857086135,58.96291558,Constructed,1001697,2017-08-22 19:34:55+00:00,Photogrammetric,158007,57.003207495940174,70569.97087997393,59.48986922885682,209.77180358505984,285.01603747970086,55 DELANCEY STREET,C7,,6.0,1900.0,-73.99837200557634,40.714792644281395
,1002980018.0,231.421875,1920,36,1001620018,396754,2100,75.884007712358454,64.16890508,Constructed,1001695,2017-08-22 18:53:23+00:00,Photogrammetric,230400,50.32684249444791,62304.63100812651,125.64951730050655,185.2027803795683,251.63421247223957,56 HESTER STREET,C7,,,,-73.99867966921795,40.71488824567387
,1004130014.0,236.6484375,1915,35,1001630028,559859,2100,76.990120317817144,66.11,Constructed,1001796,2017-08-22 19:09:01+00:00,Photogrammetric,835261,52.88377523639136,65470.1137426525,78.31253936684898,194.6122928699202,264.4188761819568,277 BROOME STREET,C7,,6.0,1900.0,-73.99769743020148,40.715186888206205
,1003100032.0,380.4296875,1910,35,1002010030,69034,2100,104.62932460608042,64.17,Constructed,1002421,2017-08-22 19:01:06+00:00,Photogrammetric,345,16.66385147976421,20629.84813194809,125.89221988756388,61.3229734455323,83.31925739882105,27 ESSEX STREET,C7,,6.0,1910.0,-73.99787259769151,40.715583894194175
,1004090029.0,334.51171875,1915,34,1002010033,69040,2100,92.459234773798471,66.28,Constructed,1002422,2017-08-22 17:51:31+00:00,Photogrammetric,670400,30.123048464489244,37292.33399903768,110.69617113690849,110.85281834932042,150.61524232244622,250 BROOME STREET,C7,,6.0,1890.0,-73.99803642196129,40.71569256794088
,1004100002.0,356.06640625,1915,38,1002020002,68751,2100,101.93930103809076,72.89,Constructed,1002424,2017-08-22 19:23:17+00:00,Photogrammetric,706274,33.2633512246916,41180.0288161682,117.83137327757808,122.40913250686506,166.316756123458,122 ORCHARD STREET,C7,,6.0,1910.0,-73.99726144640574,40.71571870631972
,1004140031.0,508.4453125,1910,32,1002010001,68074,2100,101.39497415852136,69.91,Constructed,1002402,2017-08-22 19:42:14+00:00,Photogrammetric,492961,34.47108049601027,42675.19765406072,168.25837428609083,126.8535762253178,172.35540248005137,288 BROOME STREET,C7,,6.0,1900.0,-73.99825052540405,40.715731593075326
